Country_,Name,Issuer_,Distributor_,Wrapper_,Volume_,ProductCurrency,Underlying_,InitialStrikeDateUTC,Tenor,MaxAnnualizedPayout_,Description_,ISIN_,FT_
FRA,Callable Fixed Return Credit-Linked Notes,Goldman Sachs,Non-public,Unit-linked Insurance Plan,5.0,EUR,['BNP Paribas'],2025-04-29T00:00:00Z,10.14795,6.7811,"This is a credit default product based on a reference company.The issuer has an option for early redemption that can be exercised on the predefined dates in which case the product offers a capital return of 100%, plus a fixed interest rate for each year elapsed since the start of the investment. At maturity, the product offers 100% capital return.In case of a credit event, the product will deliver at maturity a percentage, determined in respect of one or more obligations of the Reference Entity.",XS2814372830,https://brochures.structuredretailproducts.com/brochure/2025/08/13/89-74-31-90-AF-86-0D-1B-EA-0C-58-17-61-0F-CB-D5.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked to iTraxx Europe Serie 42 5Yrs Index,Crédit Mutuel - CIC,Non-public,Medium Term Note,1.5,EUR,['Markit iTraxx Europe Series 42 5Y'],2025-02-24T00:00:00Z,4.82192,6.9,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 6.9% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS3008908496,https://brochures.structuredretailproducts.com/brochure/2025/08/04/32-97-67-BE-CB-2E-0A-71-4B-ED-3E-0F-6E-CA-A8-17.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked to Markit iTraxx Europe Series 42 5Y Index,Crédit Mutuel - CIC,Non-public,Medium Term Note,4.0,EUR,['Markit iTraxx Europe Series 42 5Y'],2025-02-10T00:00:00Z,4.86027,6.5,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 6.5% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS2979643488,https://brochures.structuredretailproducts.com/brochure/2025/08/04/B2-DC-E4-51-04-2F-9F-19-23-32-D2-61-EF-F7-34-83.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked,Crédit Mutuel - CIC,Non-public,Medium Term Note,5.0,EUR,['Markit iTraxx Europe Series 42 5Y'],2024-12-12T00:00:00Z,5.02466,4.8,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 4.8% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS2951374797,https://brochures.structuredretailproducts.com/brochure/2025/08/04/6A-D2-75-A6-FE-AF-54-50-EC-11-4D-B7-4E-2E-1F-92.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked to iTraxx Main Serie 42 5Yrs Index,Crédit Mutuel - CIC,Non-public,Medium Term Note,5.0,EUR,['Markit iTraxx Europe Series 42 5Y'],2024-11-29T00:00:00Z,5.06027,5.5,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 5.5% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS2937299720,https://brochures.structuredretailproducts.com/brochure/2025/08/04/A8-6E-1B-96-D4-4B-7A-22-6D-39-6A-47-8A-18-2A-E9.pdf
FRA,Credit Linked Notes,Crédit Mutuel - CIC,Non-public,Medium Term Note,1.0,EUR,['Markit iTraxx Europe Series 43 7Y'],2025-04-07T00:00:00Z,7.21096,7.5600000000000005,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 43 5Y.The product offers a fixed coupon of 6.56% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS3037648444,https://brochures.structuredretailproducts.com/brochure/2025/08/04/01-AC-E1-13-CD-34-46-63-01-E0-C7-B9-3F-71-23-06.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked to Markit iTraxx Europe Series 42 5Y Index,Crédit Mutuel - CIC,Non-public,Medium Term Note,3.0,EUR,['Markit iTraxx Europe Series 42 5Y'],2024-12-23T00:00:00Z,4.99452,6.35,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 6.35% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS2954343922,https://brochures.structuredretailproducts.com/brochure/2025/08/04/B7-93-2C-85-27-D8-29-87-8D-B8-04-45-67-D4-49-3C.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked to Markit iTraxx Europe Series 42 5Y Index,Crédit Mutuel - CIC,Non-public,Medium Term Note,4.0,EUR,['Markit iTraxx Europe Series 42 5Y'],2025-02-10T00:00:00Z,4.86027,6.7,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 6.7% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS2982331931,https://brochures.structuredretailproducts.com/brochure/2025/08/04/95-C7-AE-16-BA-DA-A1-41-2B-87-01-D7-95-C8-E2-72.pdf
FRA,CreditIndusComm 20 12 2029 Credit Linked,Crédit Mutuel - CIC,Non-public,Medium Term Note,1.5,EUR,['Markit iTraxx Europe Series 42 5Y'],2024-12-23T00:00:00Z,4.99452,6.35,"This is a credit default product based on the reference entities of the Markit iTraxx Europe Series 42 5Y.The product offers a fixed coupon of 6.35% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS2947973512,https://brochures.structuredretailproducts.com/brochure/2025/08/04/2F-D9-24-8C-66-9B-4C-12-61-7F-92-B0-61-C8-C7-B9.pdf
FRA,Credit Linked Notes,Crédit Mutuel - CIC,Non-public,Medium Term Note,10.0,EUR,['Markit iTraxx Europe Series 43 7Y'],2025-04-17T00:00:00Z,7.18082,10.0,"This is a credit default product based on the reference entities of the iTraxx Main Series 42.The product offers a fixed coupon of 10% pa and capital return of 100% at maturity, as long as no credit event affects the underlying companies. In case of a credit event during the lifetime of the product, the product will deliver the fixed coupon plus the notional amount decreased in function of the number of reference entites affected by a credit event.",XS3049401238,https://brochures.structuredretailproducts.com/brochure/2025/08/04/DB-75-2B-37-CF-4C-75-99-81-C5-B8-DE-47-13-DA-08.pdf
