Country_,Name,Issuer_,Distributor_,Wrapper_,Volume_,ProductCurrency,Underlying_,Underlying_Type_,InitialStrikeDateUTC,Tenor,AutoCallFreq_,CapitalProtection,PDI_Type_,PDI_Barrier_,MinCoupon_,MaxCoupon_,MaxAnnualizedPayout_,AC_FirstDate_,AC_FirstLevel_,AC_FirstPayout_,AC_LastLevel_,AC_LastPayout_,Description_,ISIN_,FT_
FRA,Memory Coupon Barrier Autocall Notes linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,5.0,EUR,['MerQube NORDEA BANK ABP 0.94 Point Decrement EUR Index'],Decrement,2025-07-18T00:00:00Z,12.23014,Quarterly,0.0,European,-50.0,0.0,11.4,,2026-09-30T00:00:00Z,0.0,100.0,-20.0,100.0,"This is an income product linked to the performance of an underlying.On each observation date, including at maturity, if the underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the underlying.  Initial Lookback Dates: 18/07/2025, 30/09/2025",XS3127061219,https://brochures.structuredretailproducts.com/brochure/2025/08/29/71-14-5F-D4-4F-DF-B3-DD-F1-E1-E8-30-A4-53-0C-AB.pdf
FRA,Autocall Securities linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,2.0,EUR,['MerQube Repsol SA 0.975 Point Decrement EUR Index'],Decrement,2025-07-17T00:00:00Z,12.0274,Annually,0.0,European,-40.0,,,,2026-07-17T00:00:00Z,0.0,124.0,0.0,364.0,"This is a growth product linked to the performance of an underlying.On each observation date, if the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return, plus a specific coupon per period elapsed.At maturity, if the final level of the underlying is at or above a predefined level, the product offers the maximum capital return. If the level of the underlying is below this level but at least at the barrier, then the product offers 100% capital return. Otherwise, the product participates 1:1 in the performance of the underlying.",XS3127110446,https://brochures.structuredretailproducts.com/brochure/2025/08/29/1A-5D-E5-DC-C3-1D-E5-67-B1-38-F6-29-88-D9-28-54.pdf
FRA,Memory Coupon Barrier Autocall Notes linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,2.0,EUR,['MerQube BNP 4.6 Index Point Decrement EUR Index'],Decrement,2025-01-08T00:00:00Z,10.0274,SemiAnnually,0.0,European,-50.0,0.0,12.7,,2028-07-10T00:00:00Z,0.0,100.0,0.0,100.0,"This is an income product linked to the performance of an underlying.On each observation date, including at maturity, if the underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the underlying.",XS2965541464,https://brochures.structuredretailproducts.com/brochure/2025/08/29/14-A4-AF-3D-39-12-93-86-FF-D3-7B-F5-F5-01-52-C0.pdf
FRA,Worst of Memory Coupon Barrier Autocall Notes,Citi,Non-public,Medium Term Note,1.5,EUR,"['Renault', 'Ferrari']",Automobiles & Parts,2024-05-03T00:00:00Z,5.02192,Quarterly,0.0,European,-50.0,0.0,10.0,,2029-05-03T00:00:00Z,0.0,100.0,0.0,100.0,"This is an income product linked to the performance of a basket of underlyings.On each observation date, including at maturity, if the worst performing underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the worst performing underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the worst performing underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the worst performing underlying.",XS2807754440,https://brochures.structuredretailproducts.com/brochure/2025/08/29/85-E4-82-08-D6-AF-0B-D9-16-D1-9C-88-65-3F-1F-36.pdf
FRA,Autocall Securities linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,5.0,EUR,['Morningstar Developed Europe Energy Select 10 Decrement 50 Point GR EUR Index'],Decrement,2025-07-23T00:00:00Z,10.2411,Quarterly,0.0,European,-50.0,,,,2033-07-11T00:00:00Z,-26.0,181.375,-34.0,202.375,"This is a growth product linked to the performance of an underlying.On each observation date, if the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return, plus a specific coupon per period elapsed.At maturity, if the final level of the underlying is at or above a predefined level, the product offers the maximum capital return. If the level of the underlying is below this level but at least at the barrier, then the product offers 100% capital return. Otherwise, the product participates 1:1 in the performance of the underlying.  Initial Lookback Dates: 23/07/2025, 01/09/2025, 10/10/2025",FRC764200271,https://brochures.structuredretailproducts.com/brochure/2025/08/29/10-51-BA-9C-70-25-80-3E-FF-0A-86-44-5F-28-02-DA.pdf
FRA,Quanto Autocall Securities linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,3.0,USD,['MerQube Transatlantic 40 50 Point Decrement EUR Index'],Decrement,2025-07-24T00:00:00Z,12.13425,Quarterly,0.0,European,-50.0,,,,2031-11-28T00:00:00Z,-30.45,156.25,0.0,109.0,"This is a growth product linked to the performance of an underlying.On each observation date, if the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return, plus a specific coupon per period elapsed.At maturity, if the final level of the underlying is at or above a predefined level, the product offers the maximum capital return. If the level of the underlying is below this level but at least at the barrier, then the product offers 100% capital return. Otherwise, the product participates 1:1 in the performance of the underlying.  Initial Lookback Dates: 24/07/2025, 29/08/2025",XS3125495062,https://brochures.structuredretailproducts.com/brochure/2025/08/29/9D-10-8E-6B-F7-47-A0-06-DB-2D-5A-67-89-24-FD-9E.pdf
FRA,Memory Coupon Barrier Autocall Notes linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,5.0,EUR,['Morningstar Eurozone Multi-Sector Select 20 Decrement 50 Point GR EUR Index'],Decrement,2025-03-07T00:00:00Z,10.02466,Quarterly,0.0,European,-50.0,0.0,7.8,,2026-03-09T00:00:00Z,0.0,100.0,0.0,100.0,"This is an income product linked to the performance of an underlying.On each observation date, including at maturity, if the underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the underlying.",XS2984042817,https://brochures.structuredretailproducts.com/brochure/2025/08/29/92-48-FB-A9-A4-9B-66-EE-84-E5-EE-9D-DF-31-47-43.pdf
FRA,Memory Coupon Barrier Autocall Notes linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,3.0,EUR,['MerQube Carrefour 0.87 Point Decrement EUR Index'],Decrement,2025-06-06T00:00:00Z,10.02466,Annually,0.0,European,-40.0,0.0,9.0,,2035-06-06T00:00:00Z,5.0,100.0,5.0,100.0,"This is an income product linked to the performance of an underlying.On each observation date, including at maturity, if the underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the underlying.",XS3088369593,https://brochures.structuredretailproducts.com/brochure/2025/08/29/76-7C-1D-B8-3E-EA-9A-AD-D6-05-F6-FE-89-D8-2C-B5.pdf
FRA,Memory Coupon Barrier Autocall Notes linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,1.5,EUR,['iStoxx Single Stock on Credit Agricole GR Decrement 1.05 Price EUR Index'],Decrement,2024-10-01T00:00:00Z,10.0274,Annually,0.0,European,-40.0,0.0,10.2,,2034-10-01T00:00:00Z,0.0,100.0,0.0,100.0,"This is an income product linked to the performance of an underlying.On each observation date, including at maturity, if the underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the underlying.",XS2896405920,https://brochures.structuredretailproducts.com/brochure/2025/08/29/C4-B4-5B-96-8C-62-9D-C6-3F-B8-24-C2-F3-2B-95-3B.pdf
FRA,Memory Coupon Barrier Autocall Notes linked to an Index,Citi,Non-public,Unit-linked Insurance Plan,1.0,EUR,['iStoxx Single Stock on Credit Agricole GR Decrement 1.05 Price EUR Index'],Decrement,2024-07-25T00:00:00Z,10.02466,Annually,0.0,European,-50.0,0.0,9.5,,2034-07-25T00:00:00Z,0.0,100.0,0.0,100.0,"This is an income product linked to the performance of an underlying.On each observation date, including at maturity, if the underlying is at or above a predefined level, the product offers a coupon. The product also uses a ‘memory effect’. If on the observation date no coupon is paid, the investor will receive any missed coupons retrospectively as soon as the above condition is met.Additionally, if on any of the specified observation dates, the level of the underlying is at or above a predefined level, the product terminates early and offers 100% capital return.At maturity, the product offers a capital return of 100%, as long as the underlying is at or above the predefined barrier. Otherwise, the product participates 1:1 in the performance of the underlying.  Initial Lookback Dates: 25/07/2024, 25/10/2024",XS2856227439,https://brochures.structuredretailproducts.com/brochure/2025/08/29/BC-2A-B3-CD-83-F7-D8-E4-EC-0B-1B-DB-99-27-98-6E.pdf
